#period	period time	calc time
1	2494	1253
2	1998	1252
3	1999	1251
4	1998	1251
5	2505	1512
6	1743	1254
7	1746	1258
8	2001	1251
9	1995	1249
10	1996	1255
11	2750	1252
12	1498	1265
13	1751	1252
14	1999	1252
15	2001	1248
16	1994	2001
17	2250	1257
18	1498	1250
19	2248	1249
20	2006	1246
21	1991	1253
22	2748	1506
23	1752	1248
24	1495	1251
25	1998	1253
26	1999	1250
27	1997	2255
28	2501	1252
29	1500	1251
30	1997	1254
31	1997	1251
32	1998	1252
33	2748	1254
34	1499	1250
35	1748	1260
36	2001	1253
37	1998	1273
38	2003	1995
39	2242	1251
40	1749	1252
41	1998	1253
42	2000	1249
43	2004	1247
44	2741	1252
45	1500	1255
46	1749	1251
47	1996	1263
48	1998	1002
49	1998	2001
50	2249	1260
51	1502	749
52	2246	1252
53	2247	1252
54	1499	1004
55	2748	1753
56	1757	1243
57	1488	753
58	2504	1252
59	1747	1254
60	1998	1255
61	2746	1253
62	1502	1251
63	1746	1252
64	1998	1251
65	1997	1260
66	2002	2002
67	2249	1255
68	1498	1249
69	2246	1252
70	1998	1253
71	2000	1249
72	2494	1759
73	2002	1251
74	1748	1250
75	1500	1003
76	2245	1252
77	1998	1251
78	2745	1252
79	1501	1250
80	1497	1013
81	2252	1251
82	1997	1255
83	2247	2001
84	2245	1254
85	1751	1252
86	1498	1001
87	2247	1264
88	2253	1251
89	1499	1746
90	2246	1251
91	1998	1257
92	2000	1251
93	2248	1264
94	1499	1000
95	2998	1005
96	1251	1000
97	2000	1248
98	2244	1251
99	1498	1002
100	2246	2252
101	2497	1253
102	1510	1250
103	2241	1252
104	1500	1004
105	2246	1250
106	2998	1250
107	1501	1247
108	1745	1249
109	1497	998
110	2252	1250
111	1993	2253
112	2505	1249
113	1745	1002
114	1748	1252
115	1998	1251
116	1998	1262
117	2999	1253
118	1499	1269
119	1499	1001
120	1997	1254
121	1999	1252
122	1998	2502
123	2748	1251
124	1499	1252
125	1498	1251
126	2248	1252
127	1998	1252
128	3248	1253
129	1496	1005
130	1252	1002
131	1998	1252
132	1998	1253
133	2251	2251
134	2255	993
135	1239	1002
136	2249	1249
137	1996	1250
138	2260	1743
139	3236	1249
140	1750	1258
141	1497	1003
142	1250	1252
143	2249	1251
144	1497	1004
145	2998	1003
146	1251	1252
147	1998	1251
148	2248	1252
149	1497	1005
150	2251	2252
151	2498	1251
152	1499	1252
153	2249	1253
154	1499	1251
155	2247	1253
156	2998	753
157	1249	1253
158	1501	1000
159	2246	1252
160	1999	751
161	1998	2252
162	2499	1251
163	1747	1259
164	1499	1002
165	2248	1251
166	2000	750
167	3004	1499
168	1503	989
169	1236	1252
170	2250	750
171	1996	1251
172	1999	1251
173	2747	1253
174	1500	1251
175	1748	751
176	1997	752
177	1998	1252
178	2249	2001
179	2248	1252
180	1499	1252
181	1999	1251
182	1998	753
183	2248	1251
184	2745	755
185	1251	1250
186	1499	1003
187	2245	1005
188	2251	1252
189	1998	2001
190	2248	1253
191	1749	1261
192	1747	761
193	2257	1245
194	1993	1251
195	2749	1000
196	1248	1251
197	1999	1250
198	1998	1251
199	2000	1243
200	1992	2022
201	2257	1249
202	1497	751
203	2249	1249
204	1996	1251
205	1998	1254
206	2748	752
207	1251	1249
208	1496	1508
209	2498	1252
210	1998	1251
211	1998	2003
212	2247	1251
213	1747	1251
214	1999	1251
215	1998	1252
216	1998	1251
217	2747	1253
218	1500	1252
219	1498	753
220	2249	1252
221	1999	1256
222	1998	2250
223	2497	1254
224	1499	1001
225	1998	1251
226	1998	1259
227	2000	1250
228	2996	1256
229	1497	1254
230	1499	1005
231	2001	1251
232	2000	1248
233	1995	2257
234	2261	1240
235	1487	749
236	2254	1247
237	1993	1251
238	2249	1251
239	1500	1750
240	2250	1247
241	2001	1246
242	1992	1252
243	1998	1005
244	1999	1503
245	2999	1250
246	1499	1249
247	1746	1252
248	1749	1261
249	1998	1252
